Team,Match,Alliance,Time,X,Y
4131,1,red,0,43.16,8.67
4131,1,red,0.1,43.29,8.67
4131,1,red,0.2,43.41,8.64
4131,1,red,0.3,43.67,8.61
4131,1,red,0.4,44.03,8.56
4131,1,red,0.5,44.37,8.55
4131,1,red,0.6,44.77,8.47
4131,1,red,0.7,45.34,8.42
4131,1,red,0.8,46.06,8.43
4131,1,red,0.9,46.73,8.39
4131,1,red,1.0,47.38,8.37
4131,1,red,1.1,48.0,8.32
4131,1,red,1.2,48.46,8.33
4131,1,red,1.3,48.93,8.31
4131,1,red,1.4,49.29,8.28
4131,1,red,1.5,49.58,8.28
4131,1,red,1.6,49.84,8.27
4131,1,red,1.7,50.28,8.27
4131,1,red,1.8,50.79,8.3
4131,1,red,1.9,50.97,8.25
4131,1,red,2.0,51.14,8.29
4131,1,red,2.1,51.42,8.32
4131,1,red,2.2,51.6,8.29
4131,1,red,2.3,51.49,8.32
4131,1,red,2.4,51.29,8.33
4131,1,red,2.5,51.36,8.42
4131,1,red,2.6,51.29,8.36
4131,1,red,2.7,51.22,8.32
4131,1,red,2.8,51.22,8.39
4131,1,red,2.9,51.33,8.43
4131,1,red,3.0,51.55,8.44
4131,1,red,3.1,51.74,8.48
4131,1,red,3.2,51.9,8.54
4131,1,red,3.3,51.92,8.57
4131,1,red,3.4,51.75,8.56
4131,1,red,3.5,51.62,8.55
4131,1,red,3.6,51.54,8.57
4131,1,red,3.7,51.45,8.51
4131,1,red,3.8,51.49,8.52
4131,1,red,3.9,51.54,8.53
4131,1,red,4.0,51.63,8.5
4131,1,red,4.1,51.73,8.48
4131,1,red,4.2,51.67,8.39
4131,1,red,4.3,51.73,8.42
4131,1,red,4.4,51.64,8.41
4131,1,red,4.5,51.33,8.39
4131,1,red,4.6,51.25,8.45
4131,1,red,4.7,51.1,8.44
4131,1,red,4.8,50.95,8.51
4131,1,red,4.9,50.67,8.56
4131,1,red,5.0,50.51,8.56
4131,1,red,5.1,50.51,8.62
4131,1,red,5.2,50.43,8.65
4131,1,red,5.3,50.3,8.63
4131,1,red,5.4,50.26,8.67
4131,1,red,5.5,50.18,8.64
4131,1,red,5.6,50.06,8.66
4131,1,red,5.7,49.98,8.63
4131,1,red,5.8,49.88,8.6
4131,1,red,5.9,49.8,8.59
4131,1,red,6.0,49.78,8.59
4131,1,red,6.1,49.78,8.55
4131,1,red,6.2,49.81,8.56
4131,1,red,6.3,49.89,8.56
4131,1,red,6.4,49.9,8.53
4131,1,red,6.5,50.06,8.62
4131,1,red,6.6,50.1,8.59
4131,1,red,6.7,50.16,8.61
4131,1,red,6.8,50.26,8.63
4131,1,red,6.9,50.18,8.77
4131,1,red,7.0,46.52,11.76
4131,1,red,7.1,46.55,11.66
4131,1,red,7.2,46.42,11.51
4131,1,red,7.3,46.48,11.49
4131,1,red,7.4,46.56,11.46
4131,1,red,7.5,46.84,11.32
4131,1,red,7.6,50.82,8.32
4131,1,red,7.7,50.97,8.35
4131,1,red,7.8,51.22,8.46
4131,1,red,7.9,51.2,8.47
4131,1,red,8.0,51.21,8.46
4131,1,red,8.1,51.38,8.49
4131,1,red,8.2,51.29,8.62
4131,1,red,8.3,51.24,8.7
4131,1,red,8.4,49.02,7.82
4131,1,red,8.5,49.14,11.29
4131,1,red,8.6,49.17,11.37
4131,1,red,8.7,48.93,11.48
4131,1,red,8.8,48.84,11.45
4131,1,red,8.9,48.76,11.47
4131,1,red,9.0,50.81,12.44
4131,1,red,9.1,50.54,9.04
4131,1,red,9.2,50.31,9.02
4131,1,red,9.3,50.16,8.93
4131,1,red,9.4,50.13,8.93
4131,1,red,9.5,49.99,8.93
4131,1,red,9.6,50.03,8.93
4131,1,red,9.7,50.03,8.89
4131,1,red,9.8,50.09,8.89
4131,1,red,9.9,49.99,8.85
4131,1,red,10.0,50.08,8.84
4131,1,red,10.1,50.0,8.77
4131,1,red,10.2,49.99,8.78
4131,1,red,10.3,50.1,8.77
4131,1,red,10.4,49.85,8.62
4131,1,red,10.5,50.03,8.63
4131,1,red,10.6,50.0,8.6
4131,1,red,10.7,50.31,8.6
4131,1,red,10.8,50.53,8.57
4131,1,red,10.9,50.62,8.53
4131,1,red,11.0,50.88,8.64
4131,1,red,11.1,50.87,8.67
4131,1,red,11.2,50.68,8.56
4131,1,red,11.3,50.63,8.56
4131,1,red,11.4,50.61,8.54
4131,1,red,11.5,50.61,8.56
4131,1,red,11.6,50.67,8.6
4131,1,red,11.7,50.69,8.61
4131,1,red,11.8,50.77,8.64
4131,1,red,11.9,49.55,10.3
4131,1,red,12.0,49.48,8.52
4131,1,red,12.1,49.52,8.68
4131,1,red,12.2,49.43,8.92
4131,1,red,12.3,49.34,8.92
4131,1,red,12.4,49.33,9.06
4131,1,red,12.5,50.28,7.42
4131,1,red,12.6,50.11,9.28
4131,1,red,12.7,49.95,9.25
4131,1,red,12.8,49.95,9.01
4131,1,red,12.9,49.91,9.03
4131,1,red,13.0,49.74,8.96
4131,1,red,13.1,49.82,8.97
4131,1,red,13.2,49.67,8.91
4131,1,red,13.3,49.62,8.87
4131,1,red,13.4,49.76,8.83
4131,1,red,13.5,49.85,8.82
4131,1,red,13.6,50.0,8.98
4131,1,red,13.7,50.17,9.09
4131,1,red,13.8,50.42,9.11
4131,1,red,13.9,50.44,9.05
4131,1,red,14.0,50.46,9.13
4131,1,red,14.1,50.55,9.19
4131,1,red,14.2,50.81,9.05
4131,1,red,14.3,50.75,8.98
4131,1,red,14.4,50.66,8.96
4131,1,red,14.5,50.62,9.01
4131,1,red,14.6,50.38,8.97
4131,1,red,14.7,50.2,8.86
4131,1,red,14.8,48.96,9.69
4131,1,red,14.9,45.4,12.0
4131,1,red,15.0,45.52,12.04
4131,1,red,15.1,45.68,12.06
4131,1,red,15.2,45.77,12.0
4131,1,red,15.3,45.91,12.04
4131,1,red,15.4,47.03,11.27
4131,1,red,15.5,50.62,8.91
4131,1,red,15.6,50.55,8.92
4131,1,red,15.7,50.58,8.95
4131,1,red,15.8,50.72,9.03
4131,1,red,15.9,50.7,9.03
4131,1,red,16.0,50.77,9.06
4683,1,red,0,44.36,21.08
4683,1,red,0.1,44.29,21.09
4683,1,red,0.2,44.29,21.15
4683,1,red,0.3,44.23,21.13
4683,1,red,0.4,44.23,21.15
4683,1,red,0.5,44.12,21.13
4683,1,red,0.6,44.09,21.14
4683,1,red,0.7,44.13,21.1
4683,1,red,0.8,44.2,21.0
4683,1,red,0.9,44.2,20.97
4683,1,red,1.0,44.22,20.97
4683,1,red,1.1,44.3,20.92
4683,1,red,1.2,44.14,20.88
4683,1,red,1.3,44.04,20.89
4683,1,red,1.4,43.92,20.9
4683,1,red,1.5,43.89,20.9
4683,1,red,1.6,43.9,20.88
4683,1,red,1.7,43.89,20.91
4683,1,red,1.8,44.08,20.9
4683,1,red,1.9,44.24,20.89
4683,1,red,2.0,44.34,20.91
4683,1,red,2.1,44.38,20.95
4683,1,red,2.2,44.41,20.99
4683,1,red,2.3,44.37,21.02
4683,1,red,2.4,44.22,21.07
4683,1,red,2.5,44.08,21.12
4683,1,red,2.6,43.98,21.13
4683,1,red,2.7,44.04,21.14
4683,1,red,2.8,44.04,21.12
4683,1,red,2.9,44.11,21.1
4683,1,red,3.0,44.31,21.12
4683,1,red,3.1,44.48,21.11
4683,1,red,3.2,44.6,21.13
4683,1,red,3.3,44.5,21.06
4683,1,red,3.4,44.39,21.1
4683,1,red,3.5,44.29,21.12
4683,1,red,3.6,44.12,21.06
4683,1,red,3.7,44.07,21.0
4683,1,red,3.8,43.97,21.0
4683,1,red,3.9,44.08,21.03
4683,1,red,4.0,44.17,21.03
4683,1,red,4.1,44.31,20.99
4683,1,red,4.2,44.34,21.01
4683,1,red,4.3,44.42,21.05
4683,1,red,4.4,44.56,21.08
4683,1,red,4.5,44.41,21.12
4683,1,red,4.6,44.37,21.12
4683,1,red,4.7,44.3,21.14
4683,1,red,4.8,44.29,21.16
4683,1,red,4.9,44.3,21.17
4683,1,red,5.0,44.3,21.14
4683,1,red,5.1,44.47,21.14
4683,1,red,5.2,44.42,21.04
4683,1,red,5.3,44.48,21.07
4683,1,red,5.4,44.51,21.07
4683,1,red,5.5,44.51,21.1
4683,1,red,5.6,44.43,21.1
4683,1,red,5.7,44.3,21.11
4683,1,red,5.8,44.37,21.25
4683,1,red,5.9,44.36,21.23
4683,1,red,6.0,44.44,21.27
4683,1,red,6.1,44.39,21.26
4683,1,red,6.2,44.5,21.25
4683,1,red,6.3,44.49,21.18
4683,1,red,6.4,44.52,21.16
4683,1,red,6.5,44.49,21.13
4683,1,red,6.6,44.53,21.07
4683,1,red,6.7,44.54,21.05
4683,1,red,6.8,44.49,21.03
4683,1,red,6.9,44.63,21.08
4683,1,red,7.0,44.63,21.02
4683,1,red,7.1,44.74,21.06
4683,1,red,7.2,44.02,20.91
4683,1,red,7.3,44.11,20.96
4683,1,red,7.4,44.1,20.96
4683,1,red,7.5,44.11,20.97
4683,1,red,7.6,44.25,21.03
4683,1,red,7.7,44.21,21.01
4683,1,red,7.8,44.81,21.18
4683,1,red,7.9,44.69,21.13
4683,1,red,8.0,44.7,21.16
4683,1,red,8.1,44.67,21.21
4683,1,red,8.2,44.57,21.21
4683,1,red,8.3,44.55,21.25
4683,1,red,8.4,44.63,21.28
4683,1,red,8.5,44.75,21.32
4683,1,red,8.6,44.82,21.32
4683,1,red,8.7,44.83,21.3
4683,1,red,8.8,44.79,21.28
4683,1,red,8.9,44.72,21.25
4683,1,red,9.0,44.66,21.23
4683,1,red,9.1,44.58,21.24
4683,1,red,9.2,44.53,21.23
4683,1,red,9.3,44.52,21.21
4683,1,red,9.4,44.62,21.21
4683,1,red,9.5,44.72,21.24
4683,1,red,9.6,44.8,21.21
4683,1,red,9.7,44.84,21.19
4683,1,red,9.8,44.82,21.16
4683,1,red,9.9,44.69,21.15
4683,1,red,10.0,44.49,21.14
4683,1,red,10.1,44.3,21.13
4683,1,red,10.2,44.07,21.1
4683,1,red,10.3,43.97,21.1
4683,1,red,10.4,44.01,21.15
4683,1,red,10.5,44.16,21.2
4683,1,red,10.6,44.3,21.2
4683,1,red,10.7,44.44,21.18
4683,1,red,10.8,44.71,21.22
4683,1,red,10.9,44.8,21.24
4683,1,red,11.0,44.76,21.2
4683,1,red,11.1,44.67,21.17
4683,1,red,11.2,44.59,21.17
4683,1,red,11.3,44.56,21.21
4683,1,red,11.4,44.51,21.2
4683,1,red,11.5,44.47,21.18
4683,1,red,11.6,44.52,21.2
4683,1,red,11.7,44.55,21.19
4683,1,red,11.8,44.62,21.16
4683,1,red,11.9,44.5,21.09
4683,1,red,12.0,44.47,21.07
4683,1,red,12.1,44.39,21.05
4683,1,red,12.2,44.23,21.05
4683,1,red,12.3,44.16,21.06
4683,1,red,12.4,44.01,21.01
4683,1,red,12.5,44.04,21.04
4683,1,red,12.6,44.04,21.05
4683,1,red,12.7,44.13,21.07
4683,1,red,12.8,44.27,21.08
4683,1,red,12.9,44.27,21.03
4683,1,red,13.0,44.43,21.12
4683,1,red,13.1,44.49,21.13
4683,1,red,13.2,44.46,21.1
4683,1,red,13.3,44.5,21.08
4683,1,red,13.4,44.43,21.07
4683,1,red,13.5,44.53,21.13
4683,1,red,13.6,44.48,21.1
4683,1,red,13.7,44.46,21.1
4683,1,red,13.8,44.44,21.12
4683,1,red,13.9,44.3,21.08
4683,1,red,14.0,44.3,21.07
4683,1,red,14.1,44.29,21.09
4683,1,red,14.2,44.29,21.12
4683,1,red,14.3,44.32,21.13
4683,1,red,14.4,44.27,21.14
4683,1,red,14.5,44.36,21.18
4683,1,red,14.6,44.31,21.17
4683,1,red,14.7,44.24,21.13
4683,1,red,14.8,44.19,21.08
4683,1,red,14.9,44.19,21.1
4683,1,red,15.0,44.27,21.14
4683,1,red,15.1,44.24,21.15
4683,1,red,15.2,44.37,21.14
4683,1,red,15.3,44.47,21.18
4683,1,red,15.4,44.52,21.24
4683,1,red,15.5,44.45,21.22
4683,1,red,15.6,44.41,21.18
4683,1,red,15.7,44.43,21.19
4683,1,red,15.8,44.3,21.21
4683,1,red,15.9,44.24,21.19
4683,1,red,16.0,44.23,21.14
2412,1,red,0,46.01,11.71
2412,1,red,0.1,46.1,11.64
2412,1,red,0.2,46.11,11.65
2412,1,red,0.3,46.04,11.7
2412,1,red,0.4,45.91,11.76
2412,1,red,0.5,45.81,11.84
2412,1,red,0.6,45.74,11.79
2412,1,red,0.7,45.8,11.76
2412,1,red,0.8,45.97,11.66
2412,1,red,0.9,46.11,11.46
2412,1,red,1.0,46.21,11.38
2412,1,red,1.1,46.5,11.35
2412,1,red,1.2,46.6,11.34
2412,1,red,1.3,46.46,11.27
2412,1,red,1.4,46.32,11.29
2412,1,red,1.5,46.14,11.43
2412,1,red,1.6,46.06,11.5
2412,1,red,1.7,45.82,11.46
2412,1,red,1.8,45.81,11.48
2412,1,red,1.9,45.97,11.61
2412,1,red,2.0,45.92,11.6
2412,1,red,2.1,46.06,11.57
2412,1,red,2.2,45.99,11.48
2412,1,red,2.3,46.12,11.54
2412,1,red,2.4,45.86,11.6
2412,1,red,2.5,45.71,11.65
2412,1,red,2.6,45.58,11.66
2412,1,red,2.7,45.37,11.64
2412,1,red,2.8,45.44,11.68
2412,1,red,2.9,45.48,11.75
2412,1,red,3.0,45.65,11.79
2412,1,red,3.1,45.74,11.78
2412,1,red,3.2,45.91,11.88
2412,1,red,3.3,46.01,11.96
2412,1,red,3.4,45.94,12.03
2412,1,red,3.5,45.72,12.01
2412,1,red,3.6,45.68,11.99
2412,1,red,3.7,45.7,11.95
2412,1,red,3.8,45.65,11.87
2412,1,red,3.9,45.59,11.82
2412,1,red,4.0,45.57,11.73
2412,1,red,4.1,45.72,11.8
2412,1,red,4.2,45.85,11.8
2412,1,red,4.3,45.68,11.7
2412,1,red,4.4,45.7,11.76
2412,1,red,4.5,45.71,11.79
2412,1,red,4.6,45.78,11.86
2412,1,red,4.7,45.68,11.78
2412,1,red,4.8,45.6,11.75
2412,1,red,4.9,45.6,11.83
2412,1,red,5.0,45.55,11.75
2412,1,red,5.1,45.61,11.78
2412,1,red,5.2,45.59,11.78
2412,1,red,5.3,45.59,11.81
2412,1,red,5.4,45.65,11.8
2412,1,red,5.5,45.78,11.81
