Team,Match,Alliance,Time,X,Y
4131,1,red,31.4,44,10
4131,1,red,126.4,28,12
4683,1,red,52.1,40,6
4683,1,red,68.4,30,2
4683,1,red,72.1,26,2
2412,1,red,43.4,30,14
1318,1,blue,61.8,12,22
1318,1,blue,124.5,26,20
4089,1,blue,44.6,16,24
4180,2,red,17.1,46,18
4180,2,red,73.3,42,6
4180,2,red,139.2,46,8
2910,2,red,57.5,38,8
3826,2,blue,3.8,10,20
2928,2,blue,3.0,20,18
2928,2,blue,58.6,22,10
2928,2,blue,76.7,10,4
7118,2,blue,68.6,16,22
7118,2,blue,110.5,12,20
4173,3,red,110.9,22,20
4513,3,red,116.2,52,8
4309,3,blue,30.9,24,26
4309,3,blue,64.4,8,14
4309,3,blue,68.1,10,14
2522,4,red,1.6,24,22
2522,4,red,5.7,42,10
2522,4,red,9.4,42,8
2522,4,red,88.7,52,8
2522,4,red,95.5,50,8
2522,4,red,106.8,44,8
5588,4,red,6.6,40,4
5588,4,red,95.0,8,8
5588,4,red,123.8,42,10
5588,4,red,134.6,46,8
8032,4,red,81.5,34,22
8032,4,red,88.3,36,22
8032,4,red,98.1,34,20
8032,4,red,136.8,30,18
2903,4,blue,39.5,8,24
2903,4,blue,88.2,4,24
7627,4,blue,21.9,0,20
7627,4,blue,76.6,42,10
7627,4,blue,124.6,42,14
7627,4,blue,130.6,38,14
7627,4,blue,139.2,36,12
4915,5,red,137.8,26,8
492,5,red,15.1,32,4
949,5,red,8.7,42,12
4682,5,blue,85.5,8,14
8248,5,blue,33.1,6,10
2930,6,red,5.5,42,4
4681,6,red,25.5,42,18
4681,6,red,133.9,42,6
4911,6,red,15.7,44,14
4911,6,red,19.4,42,14
3268,6,blue,17.9,6,14
3268,6,blue,63.9,24,16
2976,7,red,144.0,24,14
4131,7,red,127.4,26,10
4089,7,red,69.5,30,8
4089,7,red,146.9,32,12
4309,7,blue,120.9,16,12
4309,7,blue,144.9,18,14
2910,7,blue,17.2,18,24
2910,7,blue,147.6,26,16
2930,9,red,2.8,26,16
