matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
1 , 8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
1 ,2412 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,   
1 ,4683 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,   
1 ,4131 ,null,true,1,0,true,0,0,0,0,0,false,false,true,false,false,false,   
1 ,4089 ,null,true,0,2,true,0,0,3,0,0,false,false,true,false,false,false,  
1 ,1318 ,null,true,0,2,false,0,0,0,0,0,false,false,false,true,false,false,  
2 ,4180 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,   
2 ,4205 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,Didn't move   
2 ,7118 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,      
2 ,2928 ,null,true,0,3,false,0,0,0,0,0,false,false,true,false,false,false,  
2 ,3826 ,null,true,0,3,true,0,0,7,0,0,false,false,true,false,false,false,    
2 ,2910 ,null,true,0,3,false,0,0,11,0,0,false,true,false,true,false,false,   
3 ,4512 ,null,true,0,0,true,0,0,1,0,0,false,false,true,false,false,true,   
3 ,1294 ,null,true,0,0,false,0,0,1,0,0,false,false,false,false,false,false,  
3 ,4512 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,true,  
3 ,4173 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
3 ,4918 ,null,true,0,2,true,0,0,0,0,0,false,false,true,false,false,false,  
3 ,4513 ,null,true,0,1,true,0,5,0,0,0,false,false,true,false,false,false,  
4 ,7627 ,null,true,0,0,true,0,3,0,0,0,false,false,true,false,false,false,  
4 ,2903 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
4 ,1778 ,null,false,0,0,false,0,0,3,0,0,false,false,true,false,false,false,  
4 ,5588 ,null,true,0,0,true,0,0,4,0,0,false,false,false,false,false,false,  
4 ,8032 ,null,false,0,0,true,0,2,0,0,0,false,false,false,false,false,false,  
4 ,2522 ,null,true,0,2,true,0,0,7,0,0,false,false,false,true,false,false,  
5 ,4682 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
5 ,8248 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
5 ,3070 ,null,true,1,0,true,0,1,0,0,0,false,false,true,false,false,false,  
5 ,492 ,null,true,0,0,true,0,3,0,0,0,false,false,false,true,false,false,  
5 ,949 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
5 ,4915 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
6 ,7461 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
6 ,3268 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
6 ,4681 ,null,true,0,1,true,0,0,1,0,0,false,false,false,false,false,false,  
6 ,1899 ,null,true,0,2,true,0,0,1,0,0,false,false,false,true,false,false,  
6 ,4911 ,null,true,0,5,true,5,0,1,0,0,false,true,false,true,false,false,  
6 ,2930 ,null,true,0,1,false,0,0,2,0,0,false,true,false,true,false,false,    
7 ,4131 ,null,true,1,0,true,0,0,0,0,0,false,false,true,false,false,false,  
7 ,1778 ,null,true,0,0,false,0,0,4,0,0,false,false,false,false,false,false,  
7 ,4309 ,null,false,0,0,true,0,1,0,0,0,false,false,true,false,false,false,   
7 ,4089 ,null,true,0,3,false,0,0,5,0,0,false,false,false,true,false,false,  
7 ,2910 ,null,true,0,3,false,0,0,17,0,0,false,true,false,true,false,false,  
7 ,2976 ,null,true,0,3,true,0,0,5,0,0,false,false,true,false,false,false,  
8 ,5588 ,null,true,0,0,true,0,0,1,0,0,false,false,false,false,false,false,  
8 ,4682 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
8 ,4918 ,null,true,0,2,true,0,0,1,0,0,false,false,true,false,false,false,   
8 ,1294 ,null,true,0,0,false,0,0,2,0,0,false,false,true,false,false,false,  
8 ,4180 ,null,false,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
8 ,8248 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
9 ,2930 ,null,true,0,3,true,0,0,3,0,0,false,false,true,false,false,false,  
9 ,3268 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
9 ,8032 ,null,true,0,0,true,0,0,3,0,0,false,false,false,false,false,false,  
9 ,4512 ,null,true,0,0,true,0,0,8,0,0,false,false,false,false,true,false,  
9 ,3826 ,null,false,0,5,false,0,0,13,0,0,false,false,false,true,false,false,  
9 ,1318 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
10 ,4513 ,null,true,0,0,true,0,0,5,0,0,false,false,true,false,false,false,  
10 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
10 ,4915 ,null,true,0,2,true,0,0,0,0,0,false,false,false,true,false,false,  
10 ,1899 ,null,true,0,2,true,0,0,5,0,0,false,false,true,false,false,false,  
10 ,2412 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
10 ,7461 ,null,true,0,0,false,0,0,2,0,0,false,false,true,false,false,false,  
11 ,4681 ,null,true,0,0,false,0,0,3,0,0,false,false,true,false,false,false,  
11 ,2928 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
11 ,2976 ,null,true,0,3,true,3,0,8,0,0,false,false,false,false,false,false,  
11 ,3070 ,null,true,3,0,true,0,0,0,0,0,false,false,true,false,false,false,  
11 ,2522 ,null,true,0,0,true,0,0,1,0,0,false,false,false,true,false,false,  
11 ,4205 ,null,true,0,0,true,5,0,0,0,0,false,false,true,false,false,false,  
12 ,7627 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
12 ,2903 ,null,false,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
12 ,492 ,null,true,0,0,true,3,0,2,0,0,false,false,false,true,false,false,  
12 ,7118 ,null,true,0,0,true,0,0,1,0,0,false,false,true,false,false,false,turret but bad intake  
12 ,4173 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
12 ,4911 ,null,true,0,1,true,1,0,0,0,0,false,false,false,true,false,false,  
13 ,949 ,null,true,0,2,true,0,0,7,0,0,false,false,false,false,false,false,  
13 ,4180 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
13 ,7461 ,null,true,0,0,false,0,0,4,0,0,false,false,true,false,false,false,  
13 ,4512 ,null,true,0,0,true,0,0,10,0,0,false,false,true,false,false,false,failed climb  
13 ,4683 ,null,true,0,0,false,0,2,0,0,0,false,false,true,false,false,false,  
13 ,4309 ,null,true,0,0,true,0,0,5,0,0,false,false,true,false,false,false,  
14 ,5588 ,null,true,0,0,true,0,0,1,0,0,false,false,true,false,false,false,  
14 ,2928 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,true,  
14 ,4682 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,not in the game   
14 ,4089 ,null,true,0,1,true,0,0,4,0,0,false,true,false,true,false,false,  
14 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,true,false,false,false,robot was motionless for most of the match  
